benchmark,profile,candidate_name,family,valid,duplicate,admitted,not_admitted,scored,skip_reason,proxy_cost,approx_delta,is_selected,scored_pool_selectable,selected_via_fallback,placement_hash,source_stage,generated,region_id,region_signature,moved_macro_ids,move_type,legalization_status,legalization_failure_reason,pre_legalization_approx_delta,post_legalization_approx_delta,legalization_displacement_max,legalization_displacement_mean,m4c_rank_score,m4c_rank_bucket,m4c_rank_reason,family_rank,family_normalized_approx_delta,m4d_rank_score,m4d_family_normalized_approx_delta,m4d_cross_family_rank,m4d_rank_reason
ibm01,m4d-default,original_neighborhood_m209_toward_centroid,original_neighborhood,True,False,True,False,True,scored,1.1404728889465332,-3.507244110107422,False,True,False,a37ab8bc,1,True,,,,toward_centroid,,,,,,,,,,,,0.11688311688311688,0.6752216434747806,31,family=original_neighborhood rank=10/78 percentile=0.116883
ibm01,m4d-default,original_neighborhood_m117_left_s,original_neighborhood,True,False,True,False,True,scored,1.1405396461486816,-2.9834976196289062,False,True,False,db3f4db0,1,True,,,,left_s,,,,,,,,,,,,0.22077922077922077,0.6818975390920395,56,family=original_neighborhood rank=18/78 percentile=0.220779
ibm01,m4d-default,original_line_search_m22_scale2p5x,original_line_search,True,False,True,False,True,scored,1.1407511234283447,-7.458744049072266,False,True,False,487dd901,3,True,,,,,,,,,,,,,,,,0.2631578947368421,0.3999999999642478,67,family=original_line_search rank=6/20 percentile=0.263158
ibm01,m4d-default,original_refinement_m54_scale1p5x,original_refinement,True,False,True,False,True,scored,1.1407663822174072,-6.13282585144043,False,True,False,ade8b9b6,2,True,,,,,,,,,,,,,,,,0.20134228187919462,0.6884612860922981,51,family=original_refinement rank=31/150 percentile=0.201342
ibm01,m4d-default,original_neighborhood_m32_toward_centroid,original_neighborhood,True,False,True,False,True,scored,1.140771746635437,-3.9842429161071777,False,True,False,a900227e,1,True,,,,toward_centroid,,,,,,,,,,,,0.07792207792207792,0.6691416137346249,21,family=original_neighborhood rank=7/78 percentile=0.077922
ibm01,m4d-default,original_neighborhood_m54_toward_centroid,original_neighborhood,True,False,True,False,True,scored,1.1407721042633057,-4.088565826416016,False,True,False,2e6204bb,1,True,,,,toward_centroid,,,,,,,,,,,,0.06493506493506493,0.6678118695313289,18,family=original_neighborhood rank=6/78 percentile=0.064935
ibm01,m4d-default,original_neighborhood_m32_down_s,original_neighborhood,True,False,True,False,True,scored,1.1407736539840698,-3.3600082397460938,False,True,False,ef2f92a2,1,True,,,,down_s,,,,,,,,,,,,0.12987012987012986,0.6770983745260005,34,family=original_neighborhood rank=11/78 percentile=0.129870
ibm01,m4d-default,original_neighborhood_m71_toward_centroid,original_neighborhood,True,False,True,False,True,scored,1.1407740116119385,-3.2688961029052734,False,True,False,fc30b9a6,1,True,,,,toward_centroid,,,,,,,,,,,,0.14285714285714285,0.6782597285896029,37,family=original_neighborhood rank=12/78 percentile=0.142857
ibm01,m4d-default,original_neighborhood_m71_down_s,original_neighborhood,True,False,True,False,True,scored,1.1407747268676758,-2.9952011108398438,False,True,False,5b4ad3bd,1,True,,,,down_s,,,,,,,,,,,,0.2077922077922078,0.6817483614133303,52,family=original_neighborhood rank=17/78 percentile=0.207792
ibm01,m4d-default,original_refinement_m54_tiny0p25um_p0_m1,original_refinement,True,False,True,False,True,scored,1.1407747268676758,-3.25,False,True,False,a9d140ef,2,True,,,,,,,,,,,,,,,,0.28187919463087246,0.7246153755165311,71,family=original_refinement rank=43/150 percentile=0.281879
