benchmark,profile,candidate_name,family,valid,duplicate,admitted,not_admitted,scored,skip_reason,proxy_cost,approx_delta,is_selected,scored_pool_selectable,selected_via_fallback,placement_hash,source_stage
ibm01,m3c-default,m3a_p17_38_184_swap,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p18_48_153_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p18_48_153_below,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p18_48_153_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p18_48_153_left,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p18_48_153_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p18_48_153_swap,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p19_54_205_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p19_54_205_below,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p19_54_205_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p19_54_205_left,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p19_54_205_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p19_54_205_swap,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p1_0_211_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p1_0_211_below,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p1_0_211_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p1_0_211_left,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p1_0_211_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p1_0_211_swap,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p20_60_64_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p20_60_64_below,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p20_60_64_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p20_60_64_left,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p20_60_64_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p20_60_64_swap,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p21_70_104_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p21_70_104_below,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p21_70_104_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p21_70_104_left,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p21_70_104_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p21_70_104_swap,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p22_71_124_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p22_71_124_below,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p22_71_124_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p22_71_124_left,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p22_71_124_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p22_71_124_swap,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p23_73_121_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p23_73_121_below,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p23_73_121_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p23_73_121_left,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p23_73_121_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p23_73_121_swap,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p24_78_112_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p24_78_112_below,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p24_78_112_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p24_78_112_left,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p24_78_112_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p24_78_112_swap,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p25_84_190_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p25_84_190_below,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p25_84_190_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p25_84_190_left,m3a_pair_refinement,True,False,False,True,False,m3c_not_admitted,,,False,False,False,64d5e457,4
ibm01,m3c-default,m3a_p25_84_190_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p25_84_190_swap,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p26_89_221_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p26_89_221_below,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p26_89_221_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p26_89_221_left,m3a_pair_refinement,True,False,False,True,False,m3c_not_admitted,,,False,False,False,55c116d2,4
ibm01,m3c-default,m3a_p26_89_221_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p26_89_221_swap,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p27_102_231_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p27_102_231_below,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p27_102_231_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p27_102_231_left,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p27_102_231_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p27_102_231_swap,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p28_103_215_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p28_103_215_below,m3a_pair_refinement,True,False,False,True,False,m3c_not_admitted,,,False,False,False,71f5bfae,4
ibm01,m3c-default,m3a_p28_103_215_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p28_103_215_left,m3a_pair_refinement,True,False,False,True,False,m3c_not_admitted,,,False,False,False,08f0ea45,4
ibm01,m3c-default,m3a_p28_103_215_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p28_103_215_swap,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p29_104_120_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p29_104_120_below,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p29_104_120_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p29_104_120_left,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p29_104_120_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p29_104_120_swap,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p2_3_189_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p2_3_189_below,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p2_3_189_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p2_3_189_left,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p2_3_189_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p2_3_189_swap,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p30_107_217_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p30_107_217_below,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p30_107_217_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p30_107_217_left,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p30_107_217_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p30_107_217_swap,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p31_138_226_above,m3a_pair_refinement,True,False,False,True,False,m3c_not_admitted,,,False,False,False,3824865c,4
ibm01,m3c-default,m3a_p31_138_226_below,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p31_138_226_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p31_138_226_left,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p31_138_226_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
